Average electricity cost assumption: 0.05 USD/kWh,,,,,,,
Timestamp,Date and Time,"power MAX, GW","power MIN, GW","power GUESS, GW","annualised consumption MAX, TWh","annualised consumption MIN, TWh","annualised consumption GUESS, TWh"
1450224000,2015-12-16T00:00:00,1.6461312,0.1893692871168,0.669573639504,14.4299860992,1.66001117086587,5.86948252389207
1450310400,2015-12-17T00:00:00,1.56389211428571,0.179908584935314,0.636122403095143,13.7090782738286,1.57707865554296,5.57624898553202
1450396800,2015-12-18T00:00:00,1.582872,0.182092012008,0.6438425843025,13.875455952,1.59621857726213,5.64392409399572
1450483200,2015-12-19T00:00:00,1.61451942857143,0.185732700543429,0.656715363780536,14.1528773108571,1.62813285296369,5.75676687890018
1450569600,2015-12-20T00:00:00,1.68587211428571,0.193941042155314,0.685738492351393,14.7783549538286,1.70008717553348,6.01118362395231
1450656000,2015-12-21T00:00:00,1.66028777142857,0.190997844937371,0.675331908987214,14.5540826043429,1.674287108721,5.91995951418192
1450742400,2015-12-22T00:00:00,1.6524744,0.1900990025016,0.67215377376675,14.4855905904,1.66640785592903,5.89209998083933
1450828800,2015-12-23T00:00:00,1.68277337142857,0.193584565875771,0.684478060295464,14.7511913739429,1.69696230446701,6.00013467655004
1450915200,2015-12-24T00:00:00,1.69359702857143,0.194829708569829,0.688880647103786,14.8460715524571,1.70787722532312,6.03872775251179
1451001600,2015-12-25T00:00:00,1.71692434285714,0.197513259477943,0.698369170695429,15.0505587894857,1.73140123258365,6.12190415031613
1451088000,2015-12-26T00:00:00,1.73922205714286,0.200078366231657,0.707438898373822,15.2460205529143,1.75388695838671,6.20140938314492
1451174400,2015-12-27T00:00:00,1.80292971428571,0.207407231401714,0.733352366180893,15.8044818754286,1.81813179046743,6.42856684194171
1451260800,2015-12-28T00:00:00,1.8061152,0.2077736864928,0.734648081409,15.8324058432,1.82134413579588,6.43992508163129
1451347200,2015-12-29T00:00:00,1.82044937142857,0.209422675239771,0.740478590746714,15.9580591899429,1.83579917115184,6.4910353264857
1451433600,2015-12-30T00:00:00,1.83319097142857,0.210888456162171,0.745661312199964,16.0697520555429,1.84864820671759,6.53646706274489
1451520000,2015-12-31T00:00:00,1.70563381381371,0.213318947564914,0.713305912445631,14.951586011891,1.86995389435404,6.2528396284984
1451606400,2016-01-01T00:00:00,1.53912330592971,0.211133114533714,0.664951674889726,13.4919548997799,1.85079288200254,5.82896638208334
1451692800,2016-01-02T00:00:00,1.36505682077314,0.209335035242743,0.614959171359107,11.9660880908974,1.83503091893788,5.39073209613393
1451779200,2016-01-03T00:00:00,1.13683879275943,0.201307416613029,0.542940206246559,9.96552885732915,1.76466081402981,4.75941384795734
1451865600,2016-01-04T00:00:00,1.01902784515371,0.210506105968114,0.520996642620143,8.93279809061746,1.84529652491649,4.56705656920817
1451952000,2016-01-05T00:00:00,0.872207447808,0.2133507772128,0.483808859812143,7.64577048748493,1.8702329130474,4.24106846511325
1452038400,2016-01-06T00:00:00,0.704985878031429,0.211837350423429,0.436026513871667,6.1799062068235,1.85696621381177,3.82220842059903
1452124800,2016-01-07T00:00:00,0.712390844144571,0.214062428187771,0.440606409243,6.24481813977131,1.876471245494,3.86235578342414
1452211200,2016-01-08T00:00:00,0.738148086946286,0.221802081192686,0.456536998969333,6.47060613017114,1.94431704373508,4.00200333296518
1452297600,2016-01-09T00:00:00,0.742215082196571,0.223024150350171,0.459052393697333,6.50625741053514,1.9550297019696,4.02405328315082
1452384000,2016-01-10T00:00:00,0.762549795925714,0.229134417253714,0.47162920497,6.68451151108481,2.00859230164606,4.13430161076702
1452470400,2016-01-11T00:00:00,0.755093637966857,0.226893957131657,0.467017647968667,6.61915083041747,1.98895242821611,4.09387670209333
1452556800,2016-01-12T00:00:00,0.763905329748,0.2295417341976,0.472467588695667,6.69639412057097,2.01216284197616,4.14165088250621
1452643200,2016-01-13T00:00:00,0.775140889793143,0.232917846180343,0.479416667011333,6.79488503992669,2.04175783961689,4.20256650302135
1452729600,2016-01-14T00:00:00,0.773873169675429,0.232536915896229,0.478632595158667,6.78377220537481,2.03841860474634,4.19569332916087
1452816000,2016-01-15T00:00:00,0.746845975316571,0.224415662094171,0.461916553457333,6.54685181962506,1.96722769391751,4.04916050760698
1452902400,2016-01-16T00:00:00,0.749523702630857,0.225220277728457,0.463572700257333,6.57032477726209,1.97428095456766,4.06367829045578
1452988800,2016-01-17T00:00:00,0.742590489065143,0.223136954306743,0.459284578984,6.50954822714504,1.95601854145291,4.02608861937374
1453075200,2016-01-18T00:00:00,0.755318488304571,0.226961521179771,0.467156715589667,6.62112186847787,1.98954469466188,4.09509576885902
1453161600,2016-01-19T00:00:00,0.738460882249714,0.221896071342514,0.456730459647,6.473348093801,1.94514096138848,4.0036992092656
1453248000,2016-01-20T00:00:00,0.744077677813714,0.223583831519314,0.460204389927333,6.52258492371502,1.95993586709831,4.034151682103
1453334400,2016-01-21T00:00:00,0.747036303973714,0.224472852911314,0.462034269774,6.54852024063358,1.96772902862058,4.05019240883888
1453420800,2016-01-22T00:00:00,0.786976969566857,0.236474405051657,0.486737160602,6.89864011522307,2.07293463468283,4.26673794983713
1453507200,2016-01-23T00:00:00,0.814343342718857,0.244697576834057,0.503662980898,7.1385337422735,2.14501895852734,4.41510969055187
1453593600,2016-01-24T00:00:00,0.829136079735428,0.249142565468229,0.512812136580333,7.26820687496077,2.18398372889449,4.4953111892632
1453680000,2016-01-25T00:00:00,0.820999989056571,0.246697796082171,0.507780048185667,7.1968859040699,2.16255288045631,4.45119990239555
1453766400,2016-01-26T00:00:00,0.844456749068571,0.253746189596571,0.52228781297,7.4025078623351,2.22433909800354,4.57837496849502
1453852800,2016-01-27T00:00:00,0.853430679622286,0.256442716903886,0.527838096709,7.48117333756896,2.24797685637946,4.62702875575109
1453939200,2016-01-28T00:00:00,0.86645020986,0.260354884332,0.535890542238333,7.59530253963276,2.28227091605431,4.69761649326123
1454025600,2016-01-29T00:00:00,0.868637283022286,0.261012065983886,0.537243224492333,7.61447442297335,2.28803177041474,4.70947410589979
1454112000,2016-01-30T00:00:00,0.882704539702286,0.265239058999886,0.545943678049,7.73778799503024,2.325085591193,4.78574228177753
1454198400,2016-01-31T00:00:00,0.897989506004571,0.269831954919771,0.555397272481333,7.87177600963607,2.36534691682672,4.86861249057137
1454284800,2016-02-01T00:00:00,0.904266413856,0.2717180686272,0.559279475421333,7.9267993838617,2.38188058958603,4.90264388154341
1454371200,2016-02-02T00:00:00,0.923417283337714,0.277472608648114,0.571124091204333,8.0946759057384,2.43232488740937,5.00647378349719
1454457600,2016-02-03T00:00:00,0.942214141517143,0.283120773749143,0.582749754638333,8.25944916453927,2.48183670268499,5.10838434915963
1454544000,2016-02-04T00:00:00,0.959445316784571,0.288298475355771,0.593407059296333,8.41049764693355,2.52722443496869,5.20180628179166
1454630400,2016-02-05T00:00:00,0.974327705161714,0.292770402836914,0.602611663423,8.54095666344759,2.56642535126839,5.28249384156602
1454716800,2016-02-06T00:00:00,0.984509632013143,0.295829914344343,0.608909080446333,8.63021143422721,2.59324502914251,5.33769699919256
1454803200,2016-02-07T00:00:00,1.00479341641886,0.301924877774057,0.621454392456333,8.8080190883277,2.64667347856739,5.44766920427222
1454889600,2016-02-08T00:00:00,1.01786847012,0.305853729144,0.629541178676667,8.92263500907192,2.6811137896763,5.51855797227966
1454976000,2016-02-09T00:00:00,1.04239330205143,0.313223061747429,0.644709534956667,9.13761968578282,2.74571335927796,5.65152378343014
